canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,CHEMBL174,Km,nM,22000.0,CHEMBL1667695,Km,uM,22.0
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,CHEMBL702,Km,nM,12000.0,CHEMBL1667695,Km,uM,12.0
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,CHEMBL617,Km,nM,10000.0,CHEMBL1667695,Km,uM,10.0
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,CHEMBL996,Km,nM,49000.0,CHEMBL1667695,Km,uM,49.0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,CHEMBL1730,Km,nM,10000.0,CHEMBL1667695,Km,uM,10.0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,CHEMBL1436,Km,nM,8000.0,CHEMBL1667695,Km,uM,8.0
CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,CHEMBL44354,Km,nM,181000.0,CHEMBL1667695,Km,uM,181.0
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,CHEMBL158,Km,,,CHEMBL1667695,Km,,
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,CHEMBL186,Km,nM,77000.0,CHEMBL1667695,Km,uM,77.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,CHEMBL148,Km,nM,94000.0,CHEMBL1667695,Km,uM,94.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,CHEMBL127,Km,nM,49000.0,CHEMBL1667695,Km,uM,49.0
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,CHEMBL29,Km,nM,16000.0,CHEMBL1667695,Km,uM,16.0
O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,CHEMBL777,Km,,,CHEMBL1667695,Km,,
CCCc1ccc(C(=O)CCC(=O)O)cc1,CHEMBL1379384,IC50,nM,3109000.0,CHEMBL1667695,IC50,uM,3109.0
O=C(O)CSc1ccnc2cc(Cl)ccc12,CHEMBL1327484,IC50,nM,1238000.0,CHEMBL1667695,IC50,uM,1238.0
O=C(O)CCCc1c[nH]c2ccccc12,CHEMBL582878,IC50,nM,1946000.0,CHEMBL1667695,IC50,uM,1946.0
N#Cc1coc2ccccc2c1=O,CHEMBL3278535,IC50,nM,480000.0,CHEMBL1667695,IC50,uM,480.0
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL1560,Kd,nM,14000.0,CHEMBL1667695,Kd,uM,14.0
O=C(CSc1nnc(-c2ccccc2O)[nH]1)Nc1cccc(Cl)c1,CHEMBL3809576,IC50,nM,160.0,CHEMBL1667695,IC50,uM,0.16
O=C(CSc1nnc(-c2ccc(O)cc2)[nH]1)Nc1ccccc1,CHEMBL3810416,IC50,nM,1200.0,CHEMBL1667695,IC50,uM,1.2
O=C(CSc1nnc(-c2ccccc2O)[nH]1)Nc1ccccc1Cl,CHEMBL3809666,IC50,nM,980.0,CHEMBL1667695,IC50,uM,0.98
CCCCc1ccc(NC(=O)CSc2nnc(-c3ccccc3O)[nH]2)cc1,CHEMBL3808671,IC50,nM,160.0,CHEMBL1667695,IC50,uM,0.16
CCc1ccccc1NC(=O)CSc1nnc(-c2ccccc2O)[nH]1,CHEMBL3809559,IC50,nM,930.0,CHEMBL1667695,IC50,uM,0.93
Cc1ccccc1NC(=O)CSc1nnc(-c2ccccc2O)[nH]1,CHEMBL3809719,IC50,nM,160.0,CHEMBL1667695,IC50,uM,0.16
O=C(CSc1nnc(-c2ccccc2O)[nH]1)Nc1ccccc1,CHEMBL3809609,IC50,nM,420.0,CHEMBL1667695,IC50,uM,0.42
O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1cccc(Cl)c1,CHEMBL3810164,IC50,nM,690.0,CHEMBL1667695,IC50,uM,0.69
O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1ccccc1Cl,CHEMBL3809469,IC50,nM,350.0,CHEMBL1667695,IC50,uM,0.35
CCCCc1ccc(NC(=O)CSc2nnc(-c3ccccc3)[nH]2)cc1,CHEMBL3810052,IC50,nM,150.0,CHEMBL1667695,IC50,uM,0.15
CCc1ccccc1NC(=O)CSc1nnc(-c2ccccc2)[nH]1,CHEMBL3809445,IC50,nM,990.0,CHEMBL1667695,IC50,uM,0.99
Cc1ccccc1NC(=O)CSc1nnc(-c2ccccc2)[nH]1,CHEMBL3808678,IC50,nM,190.0,CHEMBL1667695,IC50,uM,0.19
O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1ccccc1,CHEMBL3809713,IC50,nM,170.0,CHEMBL1667695,IC50,uM,0.17
Nc1ccccc1-c1nnc(SCC(=O)Nc2cccc(Cl)c2)[nH]1,CHEMBL3809860,IC50,nM,230.0,CHEMBL1667695,IC50,uM,0.23
Nc1ccccc1-c1nnc(SCC(=O)Nc2ccccc2Cl)[nH]1,CHEMBL3809238,IC50,nM,610.0,CHEMBL1667695,IC50,uM,0.61
CCCCc1ccc(NC(=O)CSc2nnc(-c3ccccc3N)[nH]2)cc1,CHEMBL3809806,IC50,nM,160.0,CHEMBL1667695,IC50,uM,0.16
CCc1ccccc1NC(=O)CSc1nnc(-c2ccccc2N)[nH]1,CHEMBL3810122,IC50,nM,450.0,CHEMBL1667695,IC50,uM,0.45
Cc1ccccc1NC(=O)CSc1nnc(-c2ccccc2N)[nH]1,CHEMBL3809903,IC50,nM,1900.0,CHEMBL1667695,IC50,uM,1.9
Nc1ccccc1-c1nnc(SCC(=O)Nc2ccccc2)[nH]1,CHEMBL3808891,IC50,nM,330.0,CHEMBL1667695,IC50,uM,0.33
O=C(CSc1nnc(-c2ccc(O)cc2)[nH]1)Nc1cccc(Cl)c1,CHEMBL3808813,IC50,nM,370.0,CHEMBL1667695,IC50,uM,0.37
O=C(CSc1nnc(-c2ccc(O)cc2)[nH]1)Nc1ccccc1Cl,CHEMBL3810235,IC50,nM,520.0,CHEMBL1667695,IC50,uM,0.52
