parent_chembl_id,parent_name,parent_smiles,fragment_smiles,fragment_clean,n_atoms
CHEMBL2,PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,[14*]c1ccco1,[H]c1ccco1,5
CHEMBL2,PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,[14*]c1nc(N)c2cc([16*])c([16*])cc2n1,[H]c1nc(N)c2cc([H])c([H])cc2n1,11
CHEMBL2,PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,[5*]N1CCN([5*])CC1,[H]N1CCN([H])CC1,6
CHEMBL3,NICOTINE,CN1CCC[C@H]1c1cccnc1,[16*]c1cccnc1,[H]c1cccnc1,6
CHEMBL3,NICOTINE,CN1CCC[C@H]1c1cccnc1,[13*][C@@H]1CCCN1C,[H][C@@H]1CCCN1C,6
CHEMBL4,OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,[5*]N1CCN(C)CC1,[H]N1CCN(C)CC1,7
CHEMBL4,OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,[6*]C(=O)O,[H]C(=O)O,3
CHEMBL4,OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,[16*]c1c(F)cc2c(=O)c([16*])cn3c2c1OCC3C,[H]c1c(F)cc2c(=O)c([H])cn3c2c1OCC3C,16
CHEMBL5,NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,[6*]C(=O)O,[H]C(=O)O,3
CHEMBL5,NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,[9*]n1cc([16*])c(=O)c2ccc(C)nc21,[H]n1cc([H])c(=O)c2ccc(C)nc21,12
CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,[16*]c1ccc(Cl)cc1,[H]c1ccc(Cl)cc1,7
CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,[8*]CC(=O)O,[H]CC(=O)O,4
CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,[6*]C(=O)n1c(C)c([16*])c2cc([16*])ccc21,[H]C(=O)n1c(C)c([H])c2cc([H])ccc21,12
CHEMBL403,SULBACTAM,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,[13*][C@@H]1N2C(=O)C[C@H]2S(=O)(=O)C1(C)C,[H][C@@H]1N2C(=O)C[C@H]2S(=O)(=O)C1(C)C,12
CHEMBL403,SULBACTAM,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,[6*]C(=O)O,[H]C(=O)O,3
CHEMBL404,TAZOBACTAM,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,[6*]C(=O)O,[H]C(=O)O,3
CHEMBL404,TAZOBACTAM,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,[13*][C@@H]1N2C(=O)C[C@H]2S(=O)(=O)[C@]1([13*])C,[H][C@@H]1N2C(=O)C[C@H]2S(=O)(=O)[C@]1([H])C,11
CHEMBL404,TAZOBACTAM,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,[9*]n1ccnn1,[H]n1ccnn1,5
CHEMBL8,CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,[5*]N1CCNCC1,[H]N1CCNCC1,6
